id,name,image_file,image_url,status,error
a6kqCkBtsbre1igV3bBN,Succotash seafood Equatorial Guinea,migrations\images\a6kqCkBtsbre1igV3bBN_succotash_seafood_equatorial_guinea.jpg,https://pixabay.com/get/g2a7ea484ae8e8a470ac95a0fcb3cf97d123a24fc2f8223bd3c903e69fe71fd12966a2dad06b239ba8deab8a3dc3693bcc7f2a486a70447a9a58a0af473d8a117_1280.jpg,downloaded,
aFgcXO5TYYdfmmozXUjz,Ofe Oha Nigerian soup,migrations\images\aFgcXO5TYYdfmmozXUjz_ofe_oha_nigerian_soup.jpg,https://pixabay.com/get/gfdd896808b50288ad69b824023f22c66699d840caf3defa1f3c00c9d5fcb278ca46a6520ba3430c46f567943de587e09fc3f7fcf3e14c7d95220288df293a18d_1280.jpg,downloaded,
aTcBbURUIGez7byusa1F,Tigadeguena Mali peanut stew,migrations\images\aTcBbURUIGez7byusa1F_tigadeguena_mali_peanut_stew.jpg,https://pixabay.com/get/g6140ac8d8411c060be8cecac58863e0bdcf3b1227c9e1b6f074fd1a0949aa513736eb49a63fde6c5c82439cee31193084de27216640de4738e07b4604a23555b_1280.jpg,downloaded,
bcJreidGkqwTNSGWkJi1,Moi Moi custard pap Nigeria,migrations\images\bcJreidGkqwTNSGWkJi1_moi_moi_custard_pap_nigeria.jpg,https://pixabay.com/get/g85e0d7c496edc49a7410cefcd2b717fad8494e15ec3feded1558d80737d549b5e283f501c2cc402d5e5643922536ff45ac24f7d24016fdc1a793db52483a735b_1280.jpg,downloaded,
cWbvSJaqYPsxMjGmL2gj,Nshima kapenta fish Zambia,migrations\images\cWbvSJaqYPsxMjGmL2gj_nshima_kapenta_fish_zambia.jpg,https://pixabay.com/get/gc072e3b32af6e4a0d3f9136da045a187be00df968d7c472e8088b4ca4e5fb72dede66f31fd6a5480f3c244aedebf8de2ba8b0d55c611285b7808580802b99a2c_1280.jpg,downloaded,
drsfsb17zNmrK1pfDWXw,Muamba de Galinha Angola chicken,migrations\images\drsfsb17zNmrK1pfDWXw_muamba_de_galinha_angola_chicken.jpg,https://pixabay.com/get/gaa6543e212607bcf7772ecbc34d079e61460df8bd7cac787b223b1633be8dca6efa5cba3759a5034ea91165cf01eb9c266bc5514e272aaaa800d4159fd89d72b_1280.jpg,downloaded,
es189eBL7HiyrtK6Hn9M,rice greens Madagascar,migrations\images\es189eBL7HiyrtK6Hn9M_rice_greens_madagascar.jpg,https://pixabay.com/get/g35c18aecafb7553f4eda3886917ead75c695f63121aa3d5a1f176ba309eb4237bc0bd7a4728d51b3d887d0180aada6127144373413f38b2bacfbe50212a39579_1280.jpg,downloaded,
fTSE3EkUru4v1ossDGLT,Achu yellow soup Cameroon,migrations\images\fTSE3EkUru4v1ossDGLT_achu_yellow_soup_cameroon.jpg,https://pixabay.com/get/g5a13ecc64ebbe84b33e3a22981b62ff9bf6bf9c05254ecc5eab5d59a825d3a58a03e5a4a1e62931bf12a35bfc5199f19bd9b718213b3d136a9e27d9993c5ce74_1280.jpg,downloaded,
fUrCaO3sas6h4FGZbOaX,Cambuulo adzuki beans Somalia,migrations\images\fUrCaO3sas6h4FGZbOaX_cambuulo_adzuki_beans_somalia.jpg,https://pixabay.com/get/g4b0f35f50f65107fa4fd5ddfe087500416fada3f8a772a86226017d4aeae97b278b89bca2afb08f9473c5f4623b19a8c78dbf151fe1dd791667e87b65c67bce7_1280.jpg,downloaded,
fYt87eSZ8J1yCnECsSib,Nsima chambo fish Malawi,migrations\images\fYt87eSZ8J1yCnECsSib_nsima_chambo_fish_malawi.jpg,https://pixabay.com/get/gf2d903f2664892e1aad9d633353103808c9507e2a69cfff436ccf8af77d804ab71f4ce3436ae9875776d7f81eef9f32a649b4b20185ab1ab2a91f110ce6921d8_1280.jpg,downloaded,
fglM1eMEnzGZtBqFSBt6,Tajine Zitoun olive chicken Algeria,migrations\images\fglM1eMEnzGZtBqFSBt6_tajine_zitoun_olive_chicken_algeria.jpg,https://pixabay.com/get/g66d20217fd4ec096a339b400b97200387b05a014c6e8bb9956110fd2df22815a814d43edb7b4788bc57e27addae31889030f4832594625569082263375f4ee3f_1280.jpg,downloaded,
